الْإ,אלְאִׅ
الْأ,אלְאַׅ
الْبـ,אלְבּ
الْجـ,אלְגּ
الْحـ,אלְח
الْخـ,אלְכֿ
الْعـ,אלְע
الْغـ,אלְע̇
الْفـ,אלְפֿ
الْقـ,אלְק
الْكـ,אלְכּ
الْمـ,אלְמ
الْو,אלְו
التّ,אתּׄ
الثّ,אתׄ
الدّ,אדּׄ
الذّ,אדֿׄ
الرّ,ארׄ
الزّ,אזׄ
السّـ,אסׄ
 الشّـ,אשׁׄ
 الصّـ,אצׄ
الضّـ,אצׄ֟
الطّـ,אטׄ
الظّـ,אט֟ׄ
اللّـ,אלׄ
ا,א
أ,אׅ
ب,בּ
ج,גּ
د,דּ
ذ,דֿ
ه,ה
ة,ה̈
و,ו
ز,ז
ح,ח
ط,ט
ظ,ט̇
ي,י
ك,כּ
ك,ךּ
خ,כֿ
خ,ךֿ
ل,ל
م,מ
م,ם
ن,נ
س,ס
ع,ע
غ,ע֟
ف,פֿ
ف,ףֿ
ص,צ
ص,ץ
ض,צ֟
ض,ץ֟
ق,ק
ر,ר
ش,שׁ
ت,תּ
ث,תֿ
